סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
3793,אבני חפץ,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,שומרון,,"2,363","2,362","2,341",-,אשכול יהודה ושומרון           
3786,אבנת,יהודה והשומרון,,יישובים קהילתיים,מגילות ים המלח,,249,249,249,-,אשכול יהודה ושומרון           
1311,אבשלום,הדרום,באר שבע,יישובים קהילתיים,אשכול,אזור בשור,382,383,296,-,אשכול רשויות נגב מערבי        
3759,אדורה,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,515,515,505,-,אשכול יהודה ושומרון           
113,אדירים,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,280,280,276,-,אשכול רשויות הגליל והעמקים    
1068,אדמית,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,286,285,244,-,אשכול רשויות גליל מערבי       
1123,אדרת,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,895,895,895,-,ללא שיוך לאשכול               
446,אודים,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,404","1,404","1,371",-,ללא שיוך לאשכול               
4010,אודם,הצפון,גולן,מושבים שיתופיים,גולן,גולן צפוני,192,193,179,-,אשכול רשויות גליל מזרחי       
1046,אוהד,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,409,389,387,19,אשכול רשויות נגב מערבי        
2710,אום אל-פחם,חיפה,חדרה,יישובים לא יהודיים 99999-50000 תושבים,עירייה,הר אלכסנדר,"58,665",57,28,"58,607",ללא שיוך לאשכול               
2024,אום אל-קוטוף,חיפה,חדרה,יישובים כפריים אחרים לא יהודיים,מנשה,הר אלכסנדר,"1,201",1,-,"1,200",ללא שיוך לאשכול               
1358,אום בטין,הדרום,באר שבע,יישובים לא יהודיים 4999-2000 תושבים,אל קסום,אזור באר שבע,"4,981",23,15,"4,958",אשכול רשויות נגב מזרחי        
1108,אומן,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,הגלבוע,עמק יזרעאל,659,653,619,5,אשכול רשויות הגליל והעמקים    
680,אומץ,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,860,859,839,1,ללא שיוך לאשכול               
31,אופקים,הדרום,באר שבע,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור בשור,"35,506","35,267","32,934",240,אשכול רשויות נגב מערבי        
1294,אור הגנוז,הצפון,צפת,מושבים שיתופיים,מרום הגליל,גליל עליון מזרחי,607,607,607,-,אשכול רשויות גליל מזרחי       
67,אור הנר,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,835,835,799,-,אשכול רשויות נגב מערבי        
2400,אור יהודה,תל אביב,,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור רמת גן,"38,854","38,778","37,707",76,ללא שיוך לאשכול               
1020,אור עקיבא,חיפה,חדרה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור חדרה,"20,874","20,764","18,944",110,ללא שיוך לאשכול               
780,אורה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,"1,295","1,286","1,240",9,ללא שיוך לאשכול               
1771,אורון,הדרום,באר שבע,מוקד תעסוקה,רמת נגב,הר הנגב הצפוני,-,-,-,-,אשכול רשויות נגב מזרחי        
2012,אורות,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,475,475,468,-,אשכול רשויות שורק דרומי       
4013,אורטל,הצפון,גולן,קיבוצים,גולן,גולן צפוני,376,376,376,-,אשכול רשויות גליל מזרחי       
403,אורים,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,510,508,482,2,אשכול רשויות נגב מערבי        
882,אורנים,חיפה,חיפה,יישובים מוסדיים יהודיים,זבולון,אזור חיפה,116,50,45,65,אשכול רשויות המפרץ            
3760,אורנית,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"9,295","9,278","9,114",17,אשכול יהודה ושומרון           
278,אושה,חיפה,חיפה,קיבוצים,זבולון,אזור חיפה,628,629,614,-,אשכול רשויות המפרץ            
565,אזור,תל אביב,,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חולון,"13,593","13,556","12,680",37,ללא שיוך לאשכול               
1724,אזור תעסוקה משגב(תרדיון),הצפון,עכו,מוקד תעסוקה,משגב,אזור שפרעם,-,-,-,-,אשכול רשויות בית הכרם הגלילי  
1726,אזור תעשייה אכזיב (מילואות),הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור נהרייה,-,-,-,-,אשכול רשויות גליל מערבי       
1701,אזור תעשייה הר-טוב,ירושלים,ירושלים,מוקד תעסוקה,מטה יהודה,שפלת יהודה,-,-,-,-,ללא שיוך לאשכול               
1727,אזור תעשייה נעמן (מילואות),הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור עכו,-,-,-,-,אשכול רשויות גליל מערבי       
1157,אחווה,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,באר טוביה,אזור מלאכי,297,297,289,-,אשכול רשויות שורק דרומי       
821,אחוזם,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,554,550,536,3,ללא שיוך לאשכול               
1330,אחוזת ברק,הצפון,יזרעאל,יישובים יהודיים 4999-2000 תושבים,עמק יזרעאל,עמק יזרעאל,"2,429","2,429","2,356",-,אשכול רשויות הגליל והעמקים    
785,אחיהוד,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור עכו,925,925,917,-,אשכול רשויות גליל מערבי       
850,אחיטוב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,"1,105","1,105","1,093",-,ללא שיוך לאשכול               
804,אחיסמך,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,"1,413","1,412","1,408",-,ללא שיוך לאשכול               
797,אחיעזר,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,"1,991","1,990","1,982",1,ללא שיוך לאשכול               
338,איבים,הדרום,אשקלון,יישובים מוסדיים יהודיים,שער הנגב,אזור אשקלון,774,774,226,-,אשכול רשויות נגב מערבי        
716,אייל,המרכז,פתח תקווה,קיבוצים,דרום השרון,דרום השרון,566,566,557,-,אשכול רשויות השרון            
77,איילת השחר,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,"1,154","1,155","1,109",-,אשכול רשויות גליל מזרחי       
294,אילון,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,"1,111","1,104","1,081",7,אשכול רשויות גליל מערבי       
1716,אילון תבור*,הצפון,יזרעאל,מוקד תעסוקה,עמק יזרעאל,רמת כוכב,-,-,-,-,אשכול רשויות הגליל והעמקים    
1126,אילות,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,375,370,328,4,אשכול רשויות נגב מזרחי        
49,אילנייה,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,476,471,454,5,אשכול רשויות הכנרת והעמקים    
2600,אילת,הדרום,באר שבע,יישובים יהודיים 99999-50000 תושבים,עירייה,הערבה,"53,151","50,524","41,770","2,627",ללא שיוך לאשכול               
1336,אירוס,המרכז,רחובות,יישובים קהילתיים,גן רווה,אזור ראשון לציון,911,911,900,-,ללא שיוך לאשכול               
3762,איתמר,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,470","1,469","1,467",1,אשכול יהודה ושומרון           
37,איתן,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור לכיש,565,565,565,-,ללא שיוך לאשכול               
886,איתנים,ירושלים,ירושלים,יישובים מוסדיים יהודיים,מטה יהודה,הרי יהודה,61,59,57,2,ללא שיוך לאשכול               
478,אכסאל,הצפון,יזרעאל,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"15,336",12,5,"15,324",אשכול רשויות הגליל והעמקים    
1359,אל סייד,הדרום,באר שבע,יישובים לא יהודיים 9999-5000 תושבים,אל קסום,אזור באר שבע,"6,498",35,15,"6,462",אשכול רשויות נגב מזרחי        
1339,אל -עזי,הדרום,אשקלון,יישובים כפריים אחרים לא יהודיים,יואב,אזור מלאכי,200,3,2,197,אשכול רשויות שורק דרומי       
1316,אל -עריאן,חיפה,חדרה,יישובים כפריים אחרים לא יהודיים,מנשה,הר אלכסנדר,190,-,-,190,ללא שיוך לאשכול               
4003,אל -רום,הצפון,גולן,קיבוצים,גולן,גולן צפוני,470,466,445,4,אשכול רשויות גליל מזרחי       
1145,אלומה,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,שפיר,אזור מלאכי,"1,340","1,340","1,340",-,ללא שיוך לאשכול               
330,אלומות,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,445,444,436,1,אשכול רשויות הכנרת והעמקים    
1182,אלון הגליל,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,"1,135","1,135","1,134",-,אשכול רשויות הגליל והעמקים    
3579,אלון מורה,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,שומרון,,"2,105","2,105","2,104",-,אשכול יהודה ושומרון           
3604,אלון שבות,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,גוש עציון,,"3,046","3,045","3,038",1,ללא שיוך לאשכול               
429,אלוני אבא,הצפון,יזרעאל,מושבים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,990,990,984,-,אשכול רשויות הגליל והעמקים    
4017,אלוני הבשן,הצפון,גולן,מושבים שיתופיים,גולן,גולן צפוני,518,518,518,-,אשכול רשויות גליל מזרחי       
868,אלוני יצחק,חיפה,חדרה,יישובים מוסדיים יהודיים,מנשה,אזור חדרה,304,302,218,2,ללא שיוך לאשכול               
285,אלונים,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,אזור יקנעם,552,552,539,-,אשכול רשויות הגליל והעמקים    
1365,אליאב,הדרום,אשקלון,יישובים קהילתיים,לכיש,אזור לכיש,763,763,763,-,ללא שיוך לאשכול               
41,אליכין,המרכז,השרון,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,מערב השרון,"3,462","3,460","3,425",1,ללא שיוך לאשכול               
4002,אלי-עד,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,496,496,479,-,אשכול רשויות גליל מזרחי       
1248,אליפז,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,170,164,149,6,אשכול רשויות נגב מזרחי        
730,אליפלט,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,אזור חצור,728,728,720,-,אשכול רשויות גליל מזרחי       
682,אליקים,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,מגידו,רמת מנשה,969,968,937,1,אשכול רשויות הגליל והעמקים    
204,אלישיב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,715,715,703,-,ללא שיוך לאשכול               
841,אלישמע,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,"1,168","1,169","1,159",-,אשכול רשויות השרון            
1125,אלמגור,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,עמק הירדן,כנרות,425,426,407,-,אשכול רשויות הכנרת והעמקים    
3556,אלמוג,יהודה והשומרון,,קיבוצים,מגילות ים המלח,,236,236,229,-,אשכול יהודה ושומרון           
1309,אלעד,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"49,487","49,488","49,474",-,ללא שיוך לאשכול               
3618,אלעזר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,גוש עציון,,"2,615","2,615","2,613",-,ללא שיוך לאשכול               
3750,אלפי מנשה,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"7,975","7,975","7,660",-,אשכול יהודה ושומרון           
603,אלקוש,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,275,275,274,-,אשכול רשויות גליל מערבי       
3560,אלקנה,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,,"4,301","4,300","4,293",-,אשכול יהודה ושומרון           
772,אמונים,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,007","1,007",988,-,אשכול רשויות שורק דרומי       
1064,אמירים,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,865,865,820,-,אשכול רשויות גליל מזרחי       
1253,אמנון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,אזור חצור,466,466,452,-,אשכול רשויות גליל מזרחי       
23,אמציה,הדרום,אשקלון,מושבים שיתופיים,לכיש,אזור לכיש,203,199,199,4,ללא שיוך לאשכול               
4012,אניעם,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן תיכוני,499,498,483,-,אשכול רשויות גליל מזרחי       
3754,אספר,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,"1,228","1,228","1,228",-,ללא שיוך לאשכול               
529,אעבלין,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"13,843",15,4,"13,828",אשכול רשויות המפרץ            
4301,אפיק,הצפון,גולן,קיבוצים,גולן,גולן דרומי,387,387,340,-,אשכול רשויות גליל מזרחי       
176,אפיקים,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,"1,488","1,485","1,407",2,אשכול רשויות הכנרת והעמקים    
313,אפק,הצפון,עכו,קיבוצים,מטה אשר,אזור עכו,763,759,750,4,אשכול רשויות גליל מערבי       
3650,אפרת,יהודה והשומרון,,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,,"11,853","11,854","11,821",-,ללא שיוך לאשכול               
701,ארבל,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,756,756,743,-,אשכול רשויות הכנרת והעמקים    
3598,ארגמן,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,131,131,130,-,אשכול יהודה ושומרון           
714,ארז,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,616,617,599,-,אשכול רשויות נגב מערבי        
3570,אריאל,יהודה והשומרון,,יישובים יהודיים 49999-20000 תושבים,עירייה,,"20,520","19,819","15,986",700,ללא שיוך לאשכול               
1324,ארסוף,המרכז,השרון,יישובים כפריים אחרים יהודיים,חוף השרון,מערב השרון,203,203,184,-,ללא שיוך לאשכול               
71,אשבול,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור גרר,662,662,651,-,אשכול רשויות נגב מערבי        
1276,אשבל,הצפון,עכו,קיבוצים,משגב,אזור שפרעם,141,140,136,1,אשכול רשויות בית הכרם הגלילי  
70,אשדוד,הדרום,אשקלון,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור אשדוד,"226,827","226,306","201,216",520,ללא שיוך לאשכול               
199,אשדות יעקב (איחוד),הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,"1,011","1,007",983,4,אשכול רשויות הכנרת והעמקים    
188,אשדות יעקב (מאוחד),הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,693,690,624,4,אשכול רשויות הכנרת והעמקים    
1188,אשחר,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,"1,009","1,008",990,1,אשכול רשויות בית הכרם הגלילי  
3722,אשכולות,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,623,623,613,-,אשכול יהודה ושומרון           
2021,אשל הנשיא,הדרום,באר שבע,יישובים מוסדיים יהודיים,מרחבים,אזור בשור,309,306,296,3,אשכול רשויות נגב מערבי        
1152,אשלים,הדרום,באר שבע,יישובים קהילתיים,רמת נגב,הר הנגב הצפוני,652,649,584,3,אשכול רשויות נגב מזרחי        
7100,אשקלון,הדרום,אשקלון,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור אשקלון,"153,138","152,671","130,011",468,ללא שיוך לאשכול               
1256,אשרת,הצפון,עכו,יישובים קהילתיים,מטה אשר,אזור נהרייה,616,615,612,1,אשכול רשויות גליל מערבי       
740,אשתאול,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,191","1,191","1,169",-,ללא שיוך לאשכול               
6000,באקה אל-גרביה,חיפה,חדרה,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור חדרה,"31,397",34,18,"31,364",ללא שיוך לאשכול               
21,באר אורה,הדרום,באר שבע,יישובים קהילתיים,חבל אילות,הערבה,"1,231","1,204","1,133",27,אשכול רשויות נגב מזרחי        
1376,באר גנים,הדרום,אשקלון,יישובים יהודיים 4999-2000 תושבים,חוף אשקלון,אזור אשקלון,"2,153","2,153","2,145",-,אשכול רשויות נגב מערבי        
155,באר טוביה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,313","1,314","1,285",-,אשכול רשויות שורק דרומי       
2530,באר יעקב,המרכז,רמלה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור רמלה,"31,325","31,214","29,990",111,ללא שיוך לאשכול               
1278,באר מילכה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,רמת נגב,הר הנגב הצפוני,208,208,206,-,אשכול רשויות נגב מזרחי        
9000,באר שבע,הדרום,באר שבע,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור באר שבע,"214,162","207,574","182,145","6,587",ללא שיוך לאשכול               
450,בארות יצחק,המרכז,פתח תקווה,קיבוצים,חבל מודיעין,אזור פתח תקווה,465,464,463,1,ללא שיוך לאשכול               
697,בארותיים,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,"1,179","1,179","1,155",-,ללא שיוך לאשכול               
399,בארי,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,"1,071","1,071","1,017",-,אשכול רשויות נגב מערבי        
559,בוסתן הגליל,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור עכו,"1,328","1,326","1,289",2,אשכול רשויות גליל מערבי       
482,בועיינה-נוג'ידאת,הצפון,,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"10,289",14,4,"10,275",אשכול רשויות הכנרת והעמקים    
4001,בוקעאתא,הצפון,גולן,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,גולן צפוני,"6,805",-,-,"6,805",אשכול רשויות גליל מזרחי       
698,בורגתה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,153","1,151","1,128",2,ללא שיוך לאשכול               
2043,בחן,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,"1,147","1,141","1,115",6,ללא שיוך לאשכול               
762,בטחה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור בשור,790,790,785,-,אשכול רשויות נגב מערבי        
1725,"בי""ס אזורי מקיף (אשר)",הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור נהרייה,-,-,-,-,אשכול רשויות גליל מערבי       
234,ביצרון,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,231","1,231","1,219",-,אשכול רשויות שורק דרומי       
998,ביר אל-מכסור,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"10,175",4,-,"10,171",אשכול רשויות המפרץ            
1348,ביר הדאג',הדרום,באר שבע,יישובים לא יהודיים 9999-5000 תושבים,נווה מדבר,הר הנגב הצפוני,"6,332",36,18,"6,295",אשכול רשויות נגב מזרחי        
368,בירייה,הצפון,צפת,יישובים כפריים אחרים יהודיים,מרום הגליל,גליל עליון מזרחי,872,872,865,-,אשכול רשויות גליל מזרחי       
317,בית אורן,חיפה,חדרה,קיבוצים,חוף הכרמל,אזור זכרון יעקב,594,586,567,8,אשכול רשויות מישור החוף       
3574,בית אל,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"6,108","6,108","6,094",-,אשכול יהודה ושומרון           
562,בית אלעזרי,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,ברנר,אזור רחובות,"1,550","1,550","1,537",-,אשכול רשויות שורק דרומי       
95,בית אלפא,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,"1,386","1,364",814,22,אשכול רשויות הגליל והעמקים    
3652,בית אריה-עופרים,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"5,517","5,507","5,271",10,ללא שיוך לאשכול               
1076,בית ברל,המרכז,פתח תקווה,יישובים מוסדיים יהודיים,דרום השרון,דרום השרון,268,214,199,55,אשכול רשויות השרון            
619,בית גוברין,הדרום,אשקלון,קיבוצים,יואב,אזור לכיש,450,450,443,-,אשכול רשויות שורק דרומי       
571,בית גמליאל,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,חבל יבנה,אזור רחובות,994,984,984,9,אשכול רשויות שורק דרומי       
480,בית ג'ן,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור יחיעם,"12,433",1,-,"12,432",אשכול רשויות גליל מערבי       
466,בית דגן,המרכז,רמלה,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור רמלה,"7,823","7,815","7,603",9,ללא שיוך לאשכול               
723,בית הגדי,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,867,867,867,-,אשכול רשויות נגב מערבי        
373,בית הלוי,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,834,833,822,-,ללא שיוך לאשכול               
322,בית הלל,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,עמק חולה,807,807,801,-,אשכול רשויות גליל מזרחי       
572,בית העמק,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,743,731,688,12,אשכול רשויות גליל מערבי       
3645,בית הערבה,יהודה והשומרון,,קיבוצים,מגילות ים המלח,,508,508,505,-,אשכול יהודה ושומרון           
242,בית השיטה,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,"1,275","1,274","1,222",1,אשכול רשויות הגליל והעמקים    
353,בית זיד,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,עמק יזרעאל,אזור יקנעם,74,74,70,-,אשכול רשויות הגליל והעמקים    
710,בית זית,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,"1,621","1,621","1,581",-,ללא שיוך לאשכול               
143,בית זרע,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,624,623,577,1,אשכול רשויות הכנרת והעמקים    
1712,בית חולים פוריה,הצפון,כנרת,מוקד תעסוקה,עמק הירדן,כנרות,-,-,-,-,אשכול רשויות הכנרת והעמקים    
3575,בית חורון,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,442","1,442","1,439",-,אשכול יהודה ושומרון           
877,בית חירות,המרכז,השרון,מושבים שיתופיים,עמק חפר,מערב השרון,918,918,906,-,ללא שיוך לאשכול               
2033,בית חלקיה,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,נחל שורק,אזור רחובות,"1,480","1,480","1,480",-,אשכול רשויות שורק דרומי       
159,בית חנן,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,509,508,506,1,ללא שיוך לאשכול               
800,בית חנניה,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,אזור חדרה,918,919,889,-,אשכול רשויות מישור החוף       
1050,בית חשמונאי,המרכז,רמלה,יישובים יהודיים 4999-2000 תושבים,גזר,אזור רמלה,"2,172","2,172","2,161",-,ללא שיוך לאשכול               
288,בית יהושע,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,117","1,117","1,092",-,ללא שיוך לאשכול               
265,בית יוסף,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק המעיינות,עמק בית שאן,493,493,491,-,אשכול רשויות הכנרת והעמקים    
